star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
11 UMi,1,4340,24.08,1.8,0.04,1.6
14 And,1,4888,11.55,1.78,-0.21,2.55
17 Sco,1,4157,25.92,1.22,-0.01,1.7
24 Boo,1,4893,10.64,0.99,-0.77,2.42
2MASS J04372171+2651014,1,3100,0.84,0.17,0.01,4.5
4 UMa,1,4415,18.11,1.234,-0.25,1.8
6 Lyn,1,4978,5.2,1.7,-0.13,3.16
61 Vir,3,5577,0.963,0.942,-0.01,4.34
7 CMa,2,4792,2.3,1.52,0.21,3.25
8 UMi,1,4847.4,9.9,1.8,-0.03,2.57
81 Cet,1,4785,11,2.4,-0.06,2.35
BD+14 4559,1,5008,0.95,0.86,0.1,4.6
BD+15 2940,1,4796,14.7,1.1,0.28,2.8
BD+20 2457,2,4137,49,2.8,-1,1.51
BD+20 274,1,4296,17.3,0.8,-0.46,1.99
BD+20 594,1,5766,0.928,0.961,-0.15,4.5
BD+48 738,1,4414,11,0.74,-0.2,2.24
BD+49 828,1,4943,7.6,1.52,-0.19,2.85
BD-11 4672,2,4475,0.52,0.571,-0.48,4.1
BD-17 63,1,4714,0.69,0.74,-0.03,4.26
BD-210397,2,4051,0.747,0.679,0.12,4.67
Barnard's star,4,3195,0.185,0.162,-0.56,4.9
CD Cet,1,3130,0.175,0.161,0.13,4.93
COCONUTS-2 A,1,3406,0.388,0.37,0,4.83
CoRoT-1,1,5950,1.11,0.95,-0.3,4.25
CoRoT-10,1,5075,0.79,0.89,0.26,4.65
CoRoT-11,1,6440,1.37,1.27,-0.03,4.22
CoRoT-13,1,5945,1.01,1.09,0.01,4.46
CoRoT-14,1,6035,1.21,1.13,0.05,4.35
CoRoT-16,1,5650,1.19,1.098,0.19,4.36
CoRoT-17,1,5740,1.59,1.04,0,4.4
CoRoT-18,1,5440,1,0.95,-0.1,4.4
CoRoT-19,1,6090,1.65,1.21,-0.02,4.07
CoRoT-20,2,5880,1.02,1.14,0.14,4.2
CoRoT-21,1,6200,1.95,1.29,0,3.7
CoRoT-22,1,5939,1.136,1.099,0.17,4.361
CoRoT-23,1,5900,1.61,1.14,0.05,4.3
CoRoT-24,2,4950,0.86,0.91,0.3,4.55
CoRoT-25,1,6040,1.19,1.09,-0.01,4.31
CoRoT-26,1,5590,1.79,1.09,0.01,3.99
CoRoT-27,1,5900,1.08,1.05,-0.1,4.4
CoRoT-28,1,5150,1.78,1.01,0.15,3.6
CoRoT-29,1,5260,0.9,0.97,0.2,4.3
CoRoT-30,1,5650,0.91,0.98,0.02,4.4
